Course Title,Rating,Review,What you will learn
"Le Bien, le Juste, l'Utile. Introduction aux éthiques philosophiques",4.8,595,
Libertarian Free Will Specialization,4.8,10,"How arguments from philosophers and evidence from neuroscientists contribute to the conversation about free will.To deploy these ideas to challenge assumptions of determinism in discussion and debate.How the bridge between behavior and neurobiology, and the links between attention and consciousness build our understanding of our own free will."
"AI, Empathy & Ethics",4.2,45,Compose a personal ethical framework for AI use.Explain how various types of AI programs work.Speculate about the role of AI in the future.
What Is Contemporary Art?,4.7,1,
Emotions: a Philosophical Introduction,4.3,484,
"Applied Public History: Places, People, Stories",4.8,81,
Wonders of Ancient Egypt,4.8,969,
Music for Wellness,4.6,305,"The effects music has on the brainStrategies and techniques for regulating emotions and stress by integrating music with ancient practices such as mantra and pranayamaThe scientific underpinnings that support the efficacy of ancient traditional practices used to promote wellnessHow and why music can help you to live a happier, healthier life"
Roman Art and Archaeology,4.7,619,
Developing Your Musicianship,4.8,1,"Construct, sing and play scales such as the major scale and the minor pentatonic scale.Aurally identify major 2nd, major 3rd, perfect 4th, perfect 5th, major 6th, and major 7th intervalsConstruct and play triads and 7th chordsCompose a I-IV-V chord progression in the key of C Major and create a chord chart"
"Film, Images & Historical Interpretation in the 20th Century: The Camera Never Lies",4.6,349,
Producción musical con software libre Specialization,4.8,10,
Know Thyself - The Value and Limits of Self-Knowledge: The Unconscious,4.7,727,"Gain an appreciation of the relation of methods of learning about oneself that do not depend on introspection.Become familiar with contemporary research in experimental social psychology, philosophy, and neuroscience into the emotions and the unconscious.Understand the role of affect in decision making, and self-deception.Be able to identify and analyse unconscious mechanisms motivating own and other people's actions."
Teaching the Violin and Viola: Creating a Healthy Foundation,4.7,201,
"The American South: Its Stories, Music, and Art",4.5,399,
The Ancient Greeks,4.7,1,
VR and 360 Video Production,4.7,841,
Web Design: Strategy and Information Architecture,4.8,1,
Historia del Arte: Del Barroco al Arte Posmoderno,4.7,167,"Desarrollo de las artes visuales desde el Barroco hasta el Arte Moderno. Sistemas de representación predominantes en los períodos abordados.Relaciones entre los procesos artísticos y su contexto histórico, social y económico.Principales herramientas conceptuales para analizar la historia del arte."
Introduction to Korean Philosophy and Culture,4.8,179,"Compare Korean philosophy with both Chinese philosophy as well as Western philosophyExplore the field of Korean philosophy and its development through its continued innovationDiscuss the key ideas in Korean philosophical debates, such as the concepts of moral emotions and everyday feelingsReflect the Korean philosophical traits reflected in Korean language"
Principles of Photo Composition and Digital Image Post-Production,4.7,1,
Fundamentals of Rehearsing Music Ensembles,4.8,396,
Character Design for Video Games,4.6,955,
Camera Control,4.8,1,
 Storytelling in Branding and Content Marketing ,4.4,267,
Ancient Philosophy: Aristotle and His Successors,4.8,704,
Richard Schechner's Introduction to Performance Studies ,4.7,58,
ART of the MOOC: Public Art and Pedagogy,4.7,117,
Pensamiento científico,4.8,1,
Magic in the Middle Ages,4.6,1,
Humanidades digitales,4.6,833,
Ancient Philosophy: Plato & His Predecessors,4.8,1,
Behavior Architecture - Understanding Human Behavior ,4.8,10,
The Art of Vocal Production,4.7,360,"Discuss the various types of dynamics processing and when to use each and apply equalization to a vocal track to enhance and improve the qualityDefine, describe, and apply time based effects and use them to enhance the sound of a vocal trackCompare audio editing techniques, including time based and tempo basedDiscuss how technology has changed the music recording industry"
Understanding the Music Business: What is Music Worth?,4.5,144,
Reimagining Blackness and Architecture,4.8,67,Recognize how race and racism shape architecture and the built environment and the role we as individuals play in creating a just and equitable worldExplore work by Black architects and artists and discover how Black makers have shaped and reimagined the built environmentFind inspiration by learning about the ways Black makers have fashioned their own paths and advocated for better futures
In Search for the Origins of Korean Philosophy,4.8,10,"Understand the terms ‘Name, Language, and Religion’ in the context of Korean identityHave a solid understanding of previous names of KoreaHave a basic understanding of  the early written language Koreans used (prior to Hangeul) and spoken Korean languageBe able to recognize the harmonious co-existence of Confucianism and Buddhism in Korea"
Age of Jefferson,4.7,441,
Christianity & Ecology,4.8,10,
Reasoning Across the Disciplines,4.3,62,
L’Egitto prima e dopo i faraoni. Dalla nascita dello Stato (3000 a.C. ca.) alle prime comunità cristiane (IV secolo d.C.),4.7,98,
How to Make a Comic Book (Project-Centered Course),4.6,262,
Memoir and Personal Essay: Managing Your Relationship with the Reader,4.3,238,
Songwriting: Writing the Music,5.0,43,
FL Studio Basics,4.8,10,
Creative Writing: The Craft of Style,4.7,1,
Creative Writing: The Craft of Setting and Description,4.7,1,
Pro Tools Basics,4.7,583,"Identify the various components in the Pro Tools interface and organize session filesDiscuss difference between a synthesizer and sampler and know how to use each of themRecord a live performance into Pro ToolsBalance your production mix by adjusting levels, using pan, and applying effects such as EQ, reverb, and compression"
"Alfabetização Midiática, Informacional e Diálogo Intercultural - UNESCO e UNICAMP",4.9,69,
Building Your Career in Music: Developing A Brand and Funding Your Music,4.4,460,"Describe and discuss your identity, vision, and intention and identify strategies to balance the management of the band and the creation of the musicDevelop your musical brand, build and leverage a network of industry professionals, and discuss the benefits of partnering with other brandsDevelop a vision for a recording project and engage in a professional conversation with producersPlan, design, and launch a crowdfunding campaign"
Основы графического дизайна,4.9,368,"Внедрение основ цвета: визуальный образ, ритм и рисунок в дизайнеИспользование масштаба, веса, направленности, текстуры и пространства в композицииНаборный текст и экспериментирование с формами буквСоздание собственной серии изображений с помощью различных техник создания изображений"
Grundlagen des Grafikdesigns,4.8,10,"Sie implementieren die Grundlagen der Farbenlehre: visuelle Wirkung, Rhythmus und Muster im DesignSie verwenden Maßstab, visuelles Gewicht, Ausrichtung, Struktur und Raum in einer KompositionSie setzen Text und experimentieren mit BuchstabenformenSie erstellen mit verschiedenen Bildgestaltungstechniken Ihre eigenen Bildserien"
Art & Ideas: Teaching with Themes,4.8,458,Explore works of modern and contemporary art through a variety of accessible themes that relate to classroom content and student experiences.Learn about the ways that a thematic approach supports interdisciplinary teaching and learningHear directly from artists about their ideas and processesGain exposure to a range of digital resources available for teaching with themes and incorporating content around works of art into your classroom
The Cosmopolitan Medieval Arabic World,4.8,380,"In this course you will find out that the Arabic Medieval World was diverse, advanced and connected.In this course you will learn that knowledge travels between cultures and that the Arabic Medieval World influenced the world as we know it today."
The Emergence of the Modern Middle East - Part I,4.7,1,
Approaching Music Theory: Melodic Forms and Simple Harmony,4.7,151,"Analyze the relationship between the technical details and aesthetics of music.Explore how culture, psychology, physics, formal context, and a sense of play all shape musical language.Discover ways in which music theory may be relevant to enjoying, communicating a love for, and performing music.Demonstrate confidence in the kind of musical self-analysis that can help you develop your own musical ideas."
The History of Modern Israel - Part I: From an Idea to a State,4.6,778,
El Músico Moderno Specialization,4.7,414,
東坡詞 (Ci Poetry of Su Dong Po),4.8,82,
Sustainable Development - Ideas and Imaginaries,4.8,27,
Paesaggi di Roma Antica. Archeologia e storia del Palatino.,4.8,131,
Littérature mondiale,4.6,20,
Think Again IV: How to Avoid Fallacies,4.7,315,
Think Again II: How to Reason Deductively,4.3,377,
Think Again III: How to Reason Inductively,4.7,322,
Writing a Personal Essay,4.5,81,
Game Design Document: Define the Art & Concepts,4.7,249,
World Design for Video Games,4.5,785,
Art & Activity: Interactive Strategies for Engaging with Art,4.8,1,Understand the definition of  “activity” and other terminology used to discuss active learningAnalyze the formats and techniques that make for a good activityUnderstand the benefits of activity-based learning and its impact on students’ personal developmentPractice active learning from a student’s perspective 
Age of Cathedrals,4.7,456,
Cultural Competence - Aboriginal Sydney,4.7,263,
Habilidades de pensamiento y solución de problemas,4.8,10,En este curso estudiaremos la forma en que los diversos sistemas de pensamiento y formas de cognición se entrelazan e interrelacionan.
Moneyball and Globalization,4.8,10,Describe how money shapes baseball.Understand how baseball connects to the international arena.Reflect on history's influence on the business of baseball. 
Producción Musical y su Efecto en la Composición,4.9,520,
Representaciones culturales de las sexualidades,4.8,637,
What is news? ,4.7,1,
"Plagues, Witches, and War: The Worlds of Historical Fiction",4.6,566,
Arranging for Songwriters,4.4,72,
Inequality and Democracy,4.8,28,
